"Timestamp","Understanding why some people are less likely to take up the COVID-19 vaccine","Understanding the experience of using the internet for daily activities (e.g. shopping, keeping in contact with friends and family) ","Examining impact of the pandemic on mental health, loneliness and wellbeing","Understanding how experience as a child of the 50s and 60s has helped with coping with the effects of COVID-19 lockdowns, social isolation and mental health issues?","Are there any other aspects of life during the pandemic that you think should be researched?","Please tell us if you are a..."
"2021/05/05 2:49:12 pm CET","5","5","5","5","The above 4th  question compared with the millennials generation x and y etc","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:49:32 pm CET","5","2","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:50:21 pm CET","5","3","3","2","Research who and by how much and in which way different age groups broke the COVID social dictats.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:50:22 pm CET","4","4","4","4","How to ensure that objective analysis of any particular risk related to COVID is made available. It seems to me that the media has consistently wheeled on different professors and academics who give their opinion and wildly different opinions rather than an objective view. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:50:35 pm CET","3","5","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:51:02 pm CET","3","5","5","4","The knock on effect of coming out of lockdown and facing the world; going out and meeting people once again.  I for one am finding this difficult to go into my local supermarket or to travel into town as it has been so long.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:51:48 pm CET","4","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:52:04 pm CET","4","2","2","2","Attitudes to authority and lack of concern for other people.","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/05 2:53:23 pm CET","1","3","2","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:54:03 pm CET","5","5","5","5","The lack of understanding about the seriousness of the situation,  for
example,  the obsession about going abroad on holiday, or spending time indoors at Christmas. Even now, I know that people who normally appear to be reasonably intelligent,  are breaking the rules, and these are older people who could be vulnerable to severe illness. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:54:16 pm CET","3","3","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:54:51 pm CET","5","4","5","4","Getting back to a new normal.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:54:56 pm CET","1","3","5","3","Specifically looking at how the disconnection from family has affected all age groups in the mix from young children to the elderly. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:55:26 pm CET","5","2","4","3","How inability to travel to visit family overseas has adversely affected wellbeing","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:55:35 pm CET","2","3","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:55:59 pm CET","5","4","5","2","Effect of one’s inability due to restrictions to see new grandchildren ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:57:44 pm CET","3","5","4","3","Post pandemic improvements resulting from changing the way things are done.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 2:59:06 pm CET","4","4","5","5","What happens to the homeless ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:00:01 pm CET","3","4","4","3","not as far as I am aware","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:00:56 pm CET","3","5","5","5","If alcohol played any part in coping.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:00:58 pm CET","4","5","5","4","Impact of losing a family member to Covid 19","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:01:23 pm CET","4","3","5","4","Family cohesion ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:03:15 pm CET","5","5","4","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:03:43 pm CET","5","4","5","3","The impact on metal health general health issues by not being seen by a doctor ie at surgery as previous appointment system and similar at hospital clinics .
The closing down of dentists .","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:04:44 pm CET","5","4","4","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:05:18 pm CET","4","4","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:06:35 pm CET","4","2","5","2","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:06:51 pm CET","5","5","5","4","I have been classed as vulnerable since the very beginning and have also had operations during the pandemic. The first one was elective surgery but the subsequent ones were due to an accident. I think my recovery was made more difficult because of extra restrictions I had to live with once home as I live on my own and with no visiting possible it was not easy to work out how some things could be done. People I knew may have been willing to help but they too were living under restrictions and it was not easy to find companies who could do the work I required. There may be companies/charities out there but I didn't know of there existence as I am normally very fit and independent. If one doesn't have willing friends to help it must be very difficult for some people.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:08:24 pm CET","5","4","5","2","","Member of the public"
"2021/05/05 3:10:53 pm CET","5","5","5","5","compliance of children of the 50's regarding Covid rules?","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:14:51 pm CET","5","3","5","3","Learning deficit ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:14:54 pm CET","5","5","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:19:09 pm CET","4","3","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:19:30 pm CET","2","2","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:19:49 pm CET","5","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:20:20 pm CET","4","3","5","5","Locking public toilets so it effected where you went and for how long.","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/05 3:20:52 pm CET","5","5","5","5","1. Greater involvement of GP who should know their patients needs. 2. Understanding of people’s willingness to create or believe false information about about vaccination/COVID 19.   Hope this helps.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:21:00 pm CET","5","5","5","3","Isolation","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:21:16 pm CET","5","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:21:28 pm CET","3","4","5","5","How other illnesses contacted impacted on health and well being and access to services. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:21:34 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:23:06 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/05 3:23:12 pm CET","5","5","5","5","How it affected our parents if they are still alive. Sadly my dad passed away in jan he was 98. It wasnt covid related.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:23:17 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/05 3:24:32 pm CET","4","3","4","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:24:54 pm CET","4","3","3","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:25:48 pm CET","5","5","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:26:38 pm CET","5","5","5","3","Following medical scientific instructions","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:27:55 pm CET","4","4","5","4","Reduced activity may mean less healthy in future.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:28:07 pm CET","4","2","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:28:11 pm CET","3","3","4","3","No","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:28:32 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:29:08 pm CET","5","3","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:29:08 pm CET","5","4","5","3","Effect of bereavement (non covid) during pandemic. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:30:08 pm CET","5","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:30:23 pm CET","5","3","3","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:31:37 pm CET","3","3","4","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:32:27 pm CET","5","5","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:32:44 pm CET","5","3","3","3","Negative effects of lack of social interaction via activities normally attended ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:35:22 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:35:48 pm CET","4","3","4","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:36:42 pm CET","4","5","5","3","Visiting restrictions in are homes","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:37:49 pm CET","5","5","5","5","Impact on the elderly at home and nursing homes","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:38:41 pm CET","1","1","5","1","Actual compliance, Vs notional so that more appropriate guidance or enforcement can be developed for next time","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:39:27 pm CET","5","5","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:39:37 pm CET","5","5","5","3","Work/Retirement","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:39:47 pm CET","3","5","5","4","I am house bound due to ill health and if it was not for my family helping me as they always came in wearing masks and gloves and using hand sanitisers. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:40:19 pm CET","4","4","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:40:24 pm CET","1","1","3","3","Scottish Gov handling of the pandemic.Also they were more interested about getting Indy 2.
Than the country itself.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:41:02 pm CET","2","2","3","2","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:42:23 pm CET","4","5","5","3","Dietary effects and exercise","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:42:46 pm CET","5","5","5","4","Any lessons learned from the typhoid epidemic in Aberdeen in the 60s? ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:44:43 pm CET","5","5","5","2","How many ACONF’s has passed away due to Covid-19 during the last 14 months ?","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:46:01 pm CET","3","4","4","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:46:22 pm CET","4","4","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:47:48 pm CET","5","5","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:50:26 pm CET","4","3","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:50:51 pm CET","5","4","5","2","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:51:53 pm CET","5","5","5","5","Anti social behaviour","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:56:34 pm CET","3","5","4","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:56:45 pm CET","5","4","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:58:32 pm CET","5","3","5","2","Have the Children of the 1950s been affected by Covid in ways that are outside norms?","Member of Aberdeen Children of the 1950s study"
"2021/05/05 3:59:56 pm CET","5","2","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:00:16 pm CET","5","4","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:06:10 pm CET","4","3","5","5","Examining the impact on family finances and for future generations.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:07:26 pm CET","4","4","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:08:40 pm CET","5","3","3","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:09:09 pm CET","2","4","3","3","Most off the children of the fifties would have been affected by the typhoid outbreak in Aberdden and would have been isolated at home during the outbreak, What are the differences in isolation ?","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:09:19 pm CET","5","4","5","4","Coping with inequality & resigning yourself to not being as equal as others.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:10:05 pm CET","4","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:12:07 pm CET","2","4","3","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:12:59 pm CET","5","5","5","5","Why has behaviour when allowed out, in both urban and rural areas, been so selfish? littering, disrespect for places other people live, crowding etc Especially littering!","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:14:31 pm CET","4","3","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:15:08 pm CET","3","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:16:10 pm CET","4","3","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:16:16 pm CET","3","1","4","4","The impact of the loss of cultural life on society. --5!","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:17:52 pm CET","3","5","5","4","why some elderly people didn't seem to understand what was going on and carried on seeing friends inside etc during lockdowns","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:18:59 pm CET","5","3","4","2","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:20:04 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study;Member of the public"
"2021/05/05 4:22:06 pm CET","3","3","4","4","coping with bereavement","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:24:14 pm CET","3","5","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:24:57 pm CET","4","3","5","4","Lonelyness caused by the lockdown","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:25:10 pm CET","5","4","5","3","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:26:21 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:26:42 pm CET","5","5","5","4","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:26:51 pm CET","5","4","3","5","Effect of long covid and impact on other illnesses due to prioritising covid.","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:27:05 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:28:51 pm CET","4","4","5","4","As children, in 1964, we lived through a different public health emergency ( the typhoid epidemic):  different from the current pandemic, in terms of in terms of scale and severity. Nevertheless, valuable lessons might be learned by comparing aspects of the management of these respective emergencies and how this may have impacted on life and wellbeing, during these different crises at different times in our lives. ","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:31:38 pm CET","2","4","4","4","a change in habits because of the restrictions","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:31:42 pm CET","5","3","5","5","How location - rural/urban, close or not to other family members - has affected people of all ages","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:32:00 pm CET","5","5","5","5","","Member of Aberdeen Children of the 1950s study"
"2021/05/05 4:32:41 pm CET","5","1","5","3","1. Whether aspects such as internet banking, internet shopping, payment by card in shops and less cash in circulation generally have been forced on people by necessity but will be used going forward by banks and shops as an excuse to close branches or reduce face to face services.
2. Will there be a plan to reinstate face to face appointments with GP's/health professionals at surgeries.
3. Will there be a plan to reduce the backlog of out patient appointments at hospitals.","Member of Aberdeen Children of the 1950s study"
